Review,Beer_name,MultinomialNB_label
"weak yellow color with a quickly disappearing foam. aroma is neutral. interesting: maize grits, rice and malt mixture taste. it is not that bad, but i would not consider it good either. a little bit watery, but a drinkable beer.",Asahi Super Dry,Negative
clear golden color with a big white head. grass and grain aroma. light bodied with light bitter taste.,Asahi Super Dry,Positive
"brewed in italy just checking off, i expected nothing out of ordinary and got nothing out of ordinary.",Asahi Super Dry,Negative
"pours a clear golden color with modrate white head, smells malty and sugary, tastes sweet and has a watery texturue. marginally better than shitty ex yu lagers i have access to at home. bottle",Asahi Super Dry,Negative
"sample. pale yellow with a white head of foam. grassy and floral grainy notes. a bit sweet, but predominantly dry and floral. lighter body and medium carbonation.",Asahi Super Dry,Positive
"clear, sofy head da easily disappesr, easy to drink and barely alcoholic. it is good to drink it while eating japanese with friends, if that is not your case it is not a great beer overall",Asahi Super Dry,Positive
"quality beer, reasonable taste and nice mouth taste. definitely a beer that has a situational allure to me.",Asahi Super Dry,Positive
"this beer is easy drinking, light and crisp, goes well with japanese food and friends.",Asahi Super Dry,Positive
"drinking one at yamato sushi in howald. transparent clear appearance with a head that doesn t stay long. grainy smell, smooth in the throat, but rather boring.",Asahi Super Dry,Negative
the second best japanese thing that s been in my mouth. p.s my uncles from japan,Asahi Super Dry,Positive
"pale golden body and white head. sweet malt, grains, some grass and bread aroma. sweet and some biiter flavor with dry finish, grains and some corn taste. medium body and carbonation. a medium body.",Asahi Super Dry,Positive
"no strong taste, lighting beer easy to drink without much alcohol i can feel a small of wheat",Asahi Super Dry,Positive
draft at daruma in austin. light lager. almost a hint of apple cider. refreshing though. not bad.,Asahi Super Dry,Negative
"at home. pours cleear pale golden with a white top. aroma: sweet, cereal, corn, grassy. taste: moderate sweet with minimal bitterness, dry, grains, maybe a tiny smidge of citrus, metallic. dry ish metallic finish. light body with average carbonation. nasty",Asahi Super Dry,Negative
"pale yellow color, small white head. aromas of bread, rice and light citrus. taste of rice and malt. dry finish.",Asahi Super Dry,Positive
"from beerwulf. clear yellow appearance with big bubbly white head. aroma is wheat and malts. flavour is sweet, crisp, herbal and dry.",Asahi Super Dry,Positive
"dry, as it says on the get hit with obvious notes of yeast immediately after the first few sips. inoffensive and easy to down, although a little too watery for my taste.",Asahi Super Dry,Negative
"pours a bright gold with tons of champagne bubbles and a dense white. scents of dry grass, malt and some citrus. crisp and very astringent with a dry ash note to the finish. surprisingly low carbonation. good if you like the style.",Asahi Super Dry,Positive
when in a japanese restaurant not the worst beer. looks pretty bad in the glass.,Asahi Super Dry,Negative
"gold colour, weak foam describe this beer. taste is bread, a little earth, and a little bit hop at the end. really dry. a normal lager for a higher price.",Asahi Super Dry,Negative
i have come from adoring ipas to coming back to lighter beers. and this is one of the best lighter beers around. ipas make me sick afterwards if i take more than one or can. this one doesn't. guess which one wins.,Asahi Super Dry,Negative
"lennart's summer tasting, malm golden coloured pour with a white head. grassy and grainy, notes of cereal, light vague citrus notes, light to medium body, grassy dry finish.",Asahi Super Dry,Positive
"purchased at hy vee. poured clear golden, white head. aroma was grainy, rice, burnt malt. taste was mild sweet, malt, biscuit, grains.",Asahi Super Dry,Positive
"can, definition of casual not really interesting, but not actually bad.",Asahi Super Dry,Positive
"warm and crisp, like a raspberry cobbler of beer, i would not call it super dry by traditional american standards, but maybe quite dry. its smoothness could be mistaken for creaminess. its easily a casual beer you would drink during a variety drinking of various other beers.",Asahi Super Dry,Positive
this beer tasted did not leave me satisfied. it just seemed very bland and boring. the taste was very plain. no personality. nothing that stands out and makes a statement. too bad!,Asahi Super Dry,Negative
"it is the perfect beer when its hot and you just need something cold to drink. it is like water, but this time in a good sense. in my opinion, it only lask a little of taste.",Asahi Super Dry,Negative
"ping pong london. sweet but also a bit watery, ok with dinner but thats it",Asahi Super Dry,Negative
"light yellow and fizzy. has a hop bitter flavor and dry finish, poor aftertaste.",Asahi Super Dry,Negative
"pours very light gold with a thick white head. typical lager aroma. tastes like yeast and bread. slight malt palate. very dry mouthfeel, very little body to the beer. kind of what you would expect from a beer engineered to go down easily.",Asahi Super Dry,Positive
"lilly's noodle house, kortrijk. clear golden, nice white head. nose is faint malty, low hops. taste is bit sweet malt, hint of hops, bit yeast.",Asahi Super Dry,Positive
"i have had this many times, just never the . can. not as good as the but still one of the better japanese beers. very refreshing.",Asahi Super Dry,Negative
"pale gold pour, fast head, no lace, tiny ring of bubbles. grainy aroma, malty, grassy. grass up front, corn, pretty much no bitterness. light body. about as exciting as this review. suggested pairing: chicken livers with soy sauce.",Asahi Super Dry,Positive
enjoyable but painfully average. cool on the palate yet lacking in any originality. altogether though it is a very refreshing beer on any day night it lacks a certain spark that makes a person really love the beer.,Asahi Super Dry,Positive
"pours clear straw colour with decent head and retention. arima is grainy malt. flavour is grainy malt, cardboard, mettalic. dry. medium carbonation. typical, commercial lager. unimpressive to the bone.",Asahi Super Dry,Negative
"cracker malt aroma with notes of grassy hops. pours clear, pale golden colored with a half a finger of white head that has decent retention and lacing. starts with crackers malt flavors. finishes bone dry with grassy hop flavors. simple, refreshing lager that is what it is.",Asahi Super Dry,Positive
"i see many people hating on asahi here. it is a lager, what else more do you want from it? pours a golden colour, regular head, with aromas of malt, wheat and grain. taste of roasted malt. perfect for a hot day, and even better if you get it draft from an izakaya in japan.",Asahi Super Dry,Negative
"pale clear golden with a small white head. aroma of straw, hay and malt. taste is watery and boring.",Asahi Super Dry,Negative
not something i would buy at a store but not the worst choice when you re going out for sushi,Asahi Super Dry,Negative
". clear golden one with a medium sized white head on it. almost no smell, some malt comes through clean aroma with biscuits and dough, some taste of rice, mouthfeel is rather thin. short, malty, minimal grassy finish.",Asahi Super Dry,Positive
"a good beer to have a good night you can get and dont get full , one of best beer to party :d",Asahi Super Dry,Negative
"not impressed, altho it states superdry thats not really what it is. bit sweetness in it. lager on the bottom of the lagers",Asahi Super Dry,Negative
"aroma: sweet, grass, little malt appearance: amber, clear, minimal head, white foam, taste: lightly bitter, light sweetness, little malty palate: medium body, thin feel, soft carbonation,",Asahi Super Dry,Positive
izumi antwerpen. blunt aroma and taste. typical metallic taste with some sweetness and bitterness. yawns,Asahi Super Dry,Positive
"from pop inn, reading. light gold colour with white head. sweet bready malt, biscuity malt, sweet green vegetables. standard macro pale lager, somewhat better than usual for the style. the most interesting thing about this beer is that tatsuhiro satou drinks it all the time.",Asahi Super Dry,Negative
"at korean japanese restaurant, pours clear gold with white head. aroma ver light, malty. taste moderate sweet and citric. soft cargo. nothing special but the citric element gives it some nice freshness.",Asahi Super Dry,Positive
"not much flavorvery flat tasting. again, very similar to the typical beers you get outside of the us",Asahi Super Dry,Negative
"weak watery dry pils. weak, stinks, but that could be due to the overload of durian in the malaysian street. had a nice trip, but not for the beers.",Asahi Super Dry,Negative
"bought from tesco, thin white head, pour lacing . high carbonation with a sharp bitter taste",Asahi Super Dry,Positive
"at various pubs. pours a pale biscuity gold with a white head. sweet malt, bread, and mild citrus notes. weak aroma. sweet mslt, biscuity malt, mild citrus and very mild caramel flavours. thin bodied. high carbonation. not a good beer.",Asahi Super Dry,Positive
golden body with white head. aroma is malty some herbs in the background. taste is sweet malty with some herbs in the background. aftertaste is sweet slighty balanced by some hoppy bitterness. average but not really bad,Asahi Super Dry,Positive
"well, it is a pale lager, so clear pale yellow with bubbly white head, minimal lace. aroma and taste of crsip rice and light bread. super clean and not much going on, but if that is what you like, go for it.",Asahi Super Dry,Negative
like every other makro with no personality. only beer they served at the sushi restaurant so it was easily drinkable but ultimately boring,Asahi Super Dry,Negative
"clear golden, small head. corn aroma. bitter. light bodied. soft carbonated. bland.",Asahi Super Dry,Negative
"this pale yellow lager. tolerable super cold. thin body, ok carbonation. a bit of skunk, just a hint of bitterness, mostly just a typical lager. it is saving grace for me is that it has low gluten content.",Asahi Super Dry,Negative
clear gold with a lasting head. fair amount of carbonation with a light malt aroma. dry as stated with a very light body. clean crisp finish. an okay summer beer.,Asahi Super Dry,Positive
"pretty standard adjunct lager, corn and rice sweetness mixed with slight lager esters and a mild noble hop bitterness on the finish. equally drinkable and forgettable, but goes well with shishito peppers and ramen.",Asahi Super Dry,Negative
"very malty aroma, sweet watery taste. feels a bit like drinking beer flavoured water. not much to be satisfied with.",Asahi Super Dry,Negative
decent dry hops with a bit of rice in the mix that makes the malts more mellow and less sweet. i think it really hits the spot but let s face it it s.pretty.boring.,Asahi Super Dry,Positive
"pours a clear pale golden with a medium white head. faint aroma of malt and saw dust like hops. taste of dry grassy bitter hops mellowed by mild malt. simple dry and bitter, overall nice and drinkable, would go well with spicy food.",Asahi Super Dry,Positive
"clear gold with a medium white head. malt aromas. flavors are malt, sweet corn, dry hops, pennies. fizzy carbonation, short dry finish. i remember this being better, but oh well. drink it cold.",Asahi Super Dry,Positive
"shared with jmd on board fridtjofen at fjordsteam ... clear pale golden. diminishing white head and lacing. aroma and taste of pilsner malt, grass, maize and a hint of boiled vegetables. low bitterness.",Asahi Super Dry,Negative
"pours light golden with a large frothy white head. aromas of bread, citrus, minerals, dew grass. taste is citrusy and bready. mouthfeel is crisp and dry and light bodied with moderate carbonation.",Asahi Super Dry,Positive
"a crappy lager style beer. tastes like the mass produced crap that it is. piss yellow color, smells like bud light, tastes watery and uninspired.",Asahi Super Dry,Negative
"sweet and sticky, it was quite nice off havent done the yet but for a basic lager it was good. i also got it for free which was a plus haha.",Asahi Super Dry,Negative
"pale golden body with white head. aroma of malts, sweet corn and grain. slight hop presence. taste is clean, with little sweetness and little to no hop action. corn, rice and malt can be detected. watery texture. thin body.",Asahi Super Dry,Negative
"can. pale gold, fine white head that lasts ok. meek aroma with hay and some very vague fruit. just so vacuous on the palate where there should be malt there is just a little sweetness. i suppose it s a bit corny but really it s mostly nothing. a tiny bit of bitterness at the end.",Asahi Super Dry,Negative
"pale golden with an average white head. very faint corn syrup aroma, taste is almost non existent. what is there is syrupy, slightly metallic. easy drinking but not great",Asahi Super Dry,Negative
". from in tokyo. one of the best representations of the japanese lagers. clear, light,sightly strong for a lager, but well balanced in general",Asahi Super Dry,Positive
"at salvatore cuomo. cloudy yellow and heavy white head. three finger. pale malt, corn, wheat, yeast aroma. bland. dry. boring.",Asahi Super Dry,Negative
"clear light and yellow color. not much of an aroma. strong carbonation, light in body, light in bitterness. good balance.",Asahi Super Dry,Positive
"from old tasting notes. clear light gold color. big creamy white head. faint malt nose. light fruity malt flavor with a dry finish and aftertaste. decent balance, though light in body.",Asahi Super Dry,Positive
"clear pale yellow with an ordinary head. weak aroma of grains and earthy hops. taste is corn, rice, grains and cereals. sweetish. low hop presence. strong carbonation. offensive in its inoffensiveness. neither super nor dry.",Asahi Super Dry,Negative
"golden and dry bitter, backbone is typical lager, noble hops, simple stuff but eminently quaffable.",Asahi Super Dry,Positive
"at home. everything started ok but things went downhill. tastes better in japan. in japan, . to .. can on finnair. . to .",Asahi Super Dry,Positive
solid god drinking my beer. smells sweet. not much there. taste is smooth and inoffensive. slight chemical taste. no aftertaste. great carbonation. overall i was happy with this one and would buy again. mb the beer bear on,Asahi Super Dry,Negative
"sugar syrup, grass, little peach, acidic, bit metallic. nice clean finish makes it easy to drink. far too sweet for my liking.",Asahi Super Dry,Positive
lear gold beer. dry crisp palate. dry malt and a little citrus hop that has a distinct metallic edge. dry finish with more unpleasant metallic things in the aftertaste.,Asahi Super Dry,Positive
"can from local albert heijn supermarket. clear golden with a medium white soapy head. light to medium body with moderate carbonation. straw, some metallic dusty flavour and herbs. mediocre.",Asahi Super Dry,Negative
at m s. big white head quickly diminishing. yellowish gold colour. subtle honey and herb taste alongside a light and bubbly mouthfeel. faint lemony finish under the dominant malt. crisp and cold is the best way to drink this lager.,Asahi Super Dry,Positive
aroma of malt. pale and clear with a white head. medium sweetness and light medium bitterness. average lively carbonation and a dry finish. refreshing but not one i will choose again.,Asahi Super Dry,Positive
aroma is a mild hop scent with a hint of caramel. upon tasting it has a wonderful hop taste with spice and a little burnt caramel. on the palette it s rather fizzy but goes down well. the aftertaste is pleasant with a crisp finish.,Asahi Super Dry,Positive
was better than i was expecting but still not great. an acrid sort of smell but surprisingly crisp and fresh taste. unpleasant dusty artificial notes to finish though.,Asahi Super Dry,Positive
"this is like a superior version of bud. the american version it is a beer suitable for when you throw a bbq. but very very expensive. of bud a is about a quid. this is nearly twice the price and not easy to source. a mediocre light beer, nothing special.",Asahi Super Dry,Negative
"clear golden colour, very quickly disapearing white head. aroma, malts, grain, corn, oxidized hops. taste is watery, corn, grain. empty. not good.",Asahi Super Dry,Negative
"can t comment on the pour, as i had it from the inoffensive but stale aroma, grassy hops and stale grain flavour, watery finish. like every other lager.",Asahi Super Dry,Negative
"pretty much no smell but lightly sweet malt, taste is super smooth and lightly sweethops barely decernable on mouth at endflavors go away as you drink faster, which is unfortunate because it s a really good flavorday after th year anniversary",Asahi Super Dry,Negative
"sweet and dry. not much going on, but i guess that is the intention of the beer. faint bitter finish. it s all right.",Asahi Super Dry,Negative
"very sweet, almost sickly. aroma has hints of cotton candy and sugar. dry as expected. would not buy again.",Asahi Super Dry,Positive
"pretty dry as expected, also rather sweet. sweet aroma, yellow with very little head.",Asahi Super Dry,Positive
"from the pours golden with practically no foam. aroma is malty bread. body is light with good carbonation. taste is sweet, though with some bitterness and a relatively short finish.",Asahi Super Dry,Positive
chalk this up as another pale lager that fails to deliver. no real aroma except a faint graininess. yellow and fizzy looking. big head. taste was bland with nothing noticeable except corn and rice. highly carbonated. best served real cold.,Asahi Super Dry,Negative
can. pours a clear yellow gold with a white head. lightly malty aroma. medium sweetness with a slightly bitter finish and some prune notes.,Asahi Super Dry,Positive
"served in lager glass. pours bright golden with greenish shades. off white dense head. low intensity aroma is porridge, lemon, juniper. taste is dry, fresh, watery, not really fizzy. nice bitter finish with a hint of wood.",Asahi Super Dry,Positive
can in thailand. aroma of corn and toasted malt with light citrus notes. light metallic. light bitter. light and watery. characterless.,Asahi Super Dry,Negative
"pours a clear pale golden color with medium white head. malty aroma, grainy and grassy. taste follows the nose, bready, malty, grassy, slightly citrusy and grainy. bitter aftertaste.",Asahi Super Dry,Positive
light straw colour. slightly malty but minimal aroma. malty yet dry flavours. clean and relatively refreshing when ice cold. better than australian macro lagers and unsurprisingly good with japanese food,Asahi Super Dry,Positive
"sweet grain, golden with a good white head, light body, medium carbonationnot bad.",Asahi Super Dry,Positive
"has weak aroma but it has heavy cloying sweetness, very bitter, lightly sour, taste",Asahi Super Dry,Negative
"beer with light color, light body, average carbonized, some foam in the top, .",Asahi Super Dry,Positive
"from alko, pietarsaari. pours clear golden with a small white head. aroma and taste are mainly sweet and light malts. taste is quite sweet for a pilsener. light bodied, watery, thin and boring",Asahi Super Dry,Negative
"gold, minimal head. aroma is almost unnoticeable, very light and refreshing. nothing special but still enjoyable. nice pair to sushi.",Asahi Super Dry,Positive
pours a clear golden colour with half finger of white head. aroma of bread with a hint of citrus. completely tastles. easy to drink.,Asahi Super Dry,Positive
"backlog at sushileecious, wiesbaden. i started rating my beers with untappd and a few basic notes. now i want to rate them on ratebeer. so my rating sometimes lack some information. just ignore it, it is for my personal statistics. untappd rating .",Asahi Super Dry,Negative
"clear golden with little white head. aroma is musty hops, sour corn. taste is grainy sweet and awkward sour. same in the finish. bad.",Asahi Super Dry,Negative
"rice, malt aroma with a clear golden hue,frothy, white head, medium sweetness, slight bitter finish",Asahi Super Dry,Positive
"golden yellow color, little white head. aroma: something metallic reminds me. watery taste. whent it s cold then it might be refreshing beer for hot summer, but nothing more.",Asahi Super Dry,Negative
"rather metallic and malty flavour, and clear rice influence it leaves a dry tongue.",Asahi Super Dry,Negative
not much to this beer. yellow color with white head. looks refreshing but isn t when it comes to flavor. very watery with a strange bitter aftertaste. booming voice disapprove!,Asahi Super Dry,Negative
"twelve ounce from useless asian restaurant in delhi township, tasted on july , . medium gold hue, cheap perfume smell, sweet adjunct taste with some perfume character. not as bad as nose would indicate but not worth it unless you re really thirsty.",Asahi Super Dry,Negative
"at lucky voice karaoke, islington. bit sticky and sweet, where s that attenuation gone then? doesn t live up to the dry in its name or in my distant memory. clean but not crisp. drinkable but bland, remember this being better than it is.",Asahi Super Dry,Negative
"i got this from friar tucks. pours gold with a white head. taste grain, bland, corn. i thought this was ok. i could drink this again.",Asahi Super Dry,Negative
japanese version of typical under average euro lager. no reason to drink it again.,Asahi Super Dry,Negative
"at home. clear golden with low white head. aroma and taste are mainly sweet and light malts. taste is quite sweet for a pilsener. light body, thin texture and lively carbonation.",Asahi Super Dry,Positive
"so this was actually not bad for a boring lager, but i only really bought it for the country tick. fuck yerrrrrrrrrr another one off the list, the ride never ends",Asahi Super Dry,Negative
"japan s number one beer should have alarm bells ringing. if you think heineken or budweiser are number one beers in their countries of origin then this is for you. smells lager, tastes lager. pours down the sink in a good downward fashion.",Asahi Super Dry,Negative
"can from the local sushi place. pale yellow with a white head. generic lager, bitter sweet, with notes of malted barley, corn and metal.",Asahi Super Dry,Negative
"at home. pours clear golden with small white head. aroma of bready malts. really dry like the name suggest, reminds me of many czech pilsners in that regard. the carbonation is not there though, more like soft to average.",Asahi Super Dry,Negative
". can pours a clear golden with a big white head that dissipates rather quickly. aroma of sweetness and dough. taste of corn sweetness, and slight hops. this light bodied brew is just another pale lager.",Asahi Super Dry,Negative
"pint in restaurant. pours light gold colour. straw, dried banana, bread, dough on nose. slight fruit, biscuit sweet flavour with light watery finish. highly carbonated.",Asahi Super Dry,Positive
"straw color. very mild aroma with some light malts and noticeable hops. balance between biscuit malt sweetness, acidity, and bitterness. has more flavor than most pale lagers, but ultimately another boring brew.",Asahi Super Dry,Negative
"pours gold with a small white head. aroma is corn, grass and light citrus. taste is light bitters with sweetness. light bodied, dry finish.",Asahi Super Dry,Positive
"poured from the light yellow beer. a bit tasteless in the mouth. not very good, but fresh while enjoying some food.",Asahi Super Dry,Negative
"this is way less offensive than i was expecting. kind of a yeasty sweet aroma. pours super clear, gold, with a big white head. taste is a little sweet, get a little bit of citrus flavor. it s totally fine.",Asahi Super Dry,Negative
not a very good beer at all. very few redeaming qualities for this beer. it looks like a good beer and it has an ok palate. check out my video review here. https: youtu.be yvnycwqpvwa,Asahi Super Dry,Negative
"only had it because of limited choice in japanese restaurant. nothing but a low level lager i m afraid: very little aroma and taste, annoying carbonation, leaves you very unsatisfied. avoid as much as possible.",Asahi Super Dry,Negative
at omi. odd sweet taste. clear yellow appearance. small white head. okay i guess.,Asahi Super Dry,Negative
"one from well know lager beers from japan. this one is also much better then most of eu and american lager beers. pretty much neutral, but tasty and with some discreet qualities. good for any food.",Asahi Super Dry,Positive
"smells like coors light. nice in a frosted glass, no head. nice dryness. great bite to it. not bitter, almost sweet? the beer for all seasons",Asahi Super Dry,Negative
"aroma and taste is swwet grains, rice and grassy hops. its dry an a very quick ending.",Asahi Super Dry,Positive
"at harrys bar, boat quay, singapore. poured a clear straw colour with a frothy white head. the aroma is yeast, dry mineral malt. the flavour is moderate bitter with a light grainy, slightly floral hop bitter palate. medium bodied with average carbonation.",Asahi Super Dry,Positive
"enjoyed in a can. smell is basic lager corn and sweet hay, grains, etc. taste is solid, some good balance between bitter and sweet. nothing too drying about it, but it s a decent japanese beer. goes well with sushi",Asahi Super Dry,Positive
"from systembolaget. clear pale golden with a two finger size white head, some lacing. sweet malty aroma with grains. grassy and sweet taste, rice, grains and a dry finish.",Asahi Super Dry,Positive
backlog havregatan . from systembolaget.,Asahi Super Dry,Negative
well i had one with sushi. should have stuck with water or green tea. yuck.,Asahi Super Dry,Negative
